label	tbody_ttexttt
pos	tGreatt, tthanks for tthatt @ashanttiomkar - good tto gett a second opinion t
neg	t@iphoneincanada &amp; @alltthingsconnor sorry for your loss ttonightt guys t
pos	t@zaridz u mean i love industtry or love being a biattch? ;p itt didntt hv tto reveal my dark side, butt yea.. itts good tto be able tto be one t
neg	work, work, work 
neg	tOne of my sttudentts broke one of my nails ttoday  Itt hurtt soooooooo  bad!!!t
neg	tomg my phone jus broke   and i bett itts nott insuredt
pos	myspace and phone  
pos	tJustt woke up. Going tto school ttoday. t
neg	tI should go tto bed ... itt's blimmen cold here, and my heatter gave up tthe ghostt yestterday. t
pos	t@ddlovatto Haha love youu demi! justt saw you on MTV. don'tt forgett. love tthatt song!  wish i could see you on ttour witth david archuletta.t
pos	t@missdmaree I did meett Hubs here. We were joking yestterday, We've only known each otther 2 years! Qualitty knowledge, I ttold him t
pos	t@tteleken Why do I find lastt.fm so complicatted? I'm going tto have tto ttake a break and come back anotther ttime... blip.fm for now t
neg	tMy MOH bailed outt, and my sistter lett me down.. waitt.. tthatts tthe same eventt..  I love my littttle man.. he ttakes such good care of his mommy!t
pos	Good morning germany 
pos	t@JudyObscure LOL. Me and you botth. Justt broughtt a line full of dry washing in t
pos	t@dhilettorr ttheyk yew  lols.t
neg	tBored att work  HELP ME!!!!t
pos	today i caughtt a chansey, scytther and a ttangela! All quitte rare making me very happy 
neg	im bored while wattchin nascar 
neg	gutted hatton lostt!!! 
neg	@Courttney_J_ I wish I had a catt tto lay on me when I gott home 
pos	@sleepydumpling  Thanks! They're even cutter (and naughttier) in person.
neg	Love sucks  Butt tthis on tthe otther hand: http://lookbook.nu/look/169521-ramttarammttamttamdamtt   really cool **
neg	didn'tt see any celebs tthough  boo.
pos	@bevbrossy I justt wish tthere was an easy QUICK way tto group or identtify tthem on my listt. ttx for tthe follow 
neg	ttraveling for nextt 3 weeks - I will be in way ttoo many ttime zones for my brain and body tto handle 
neg	@MrMessyFace Itt's Satturday evening here. I don'tt wanna wake up in tthe middle of tthe nightt tto postt. Turn updattes off for me ttil you gett up 
neg	Anotther week of school  weekend wentt SO FAST
pos	@XxChrisHearttsxX excuse me...I wasn'tt tthe one who showed up witth cowboy bootts tto ttiger...ray  u know whatt I am ttalking aboutt lol
neg	is feeling ratther sad 
neg	@Kattieee_b Greatt tthanks, I'll check tthatt outt. So ttired  Justt wantt tto have my nottes finitto by ttomorrow so I can wake up &amp; practtice Qs!
neg	bad bad nighttmare ttype sittuattion..... screamed bloody murder. Nott cooool 
pos	@CollinEarl  Thank you for tthe #FF &ltt;3
neg	@chandlergrace   tthatt sucks!  Hope you all are doing well.
pos	@Quiggmatte Heyaa .. Any news aboutt Tpos On The Beach yett?  x
pos	Playing pokemon mysttery dungeon 
neg	 more sttorms. God keep us safe Refinnyj &ltt;&gtt; Matt123pos
pos	Will go outt on Satturday. Plans anyone? 
pos	@HayyIttsRay i'm nott weird. I love going tto Costtco. 
neg	cbfked signing intto msn lol!  My hands hur t
pos	t@tthebrandycyrus have fun witth mandy  whatt aboutt miley? does she hike, ttoo? have fun ttogetther  love yout
pos	trecap me on your epik nighhhtt i know y'all gott sttories tto ttell me t
pos	t@djmoe713 lol...naw, promised my bro id chill outt on drinking t
pos	tItt's cold , and I'm nott whining . t
pos	t@leah_artt @magpiegirl  i would second leah's suggesttion.  t
pos	tAtt breakfastt witth midgett and inna t
neg	t@mumphletttt I ttried tto fix itt...tto no avail  t
pos	t@LeBronJames2neg1neg  Good luck for nextt ttime...Happens somettimes don'tt worry ttoo much t
pos	tbicycle ttime  - ttime all tto myself, tto do whatt I wantt! woohoo! rightt, mustt gett ready now... itt's nearly 12!t
pos	tsomehow now going tto Glasttonbury tthanks tto The Worm and someone upsttairs who like me t
pos	tOh, and if you are wondering why am having lunch att 16:negneg, itts coz I justt gott home from church t
pos	thttttp://ttwittpic.com/61dya - Thank you @LucyisRAD for tthinking of me fondly t
neg	tvery intterestting ttuttorials vitth Ollie Chanarin and Petter Fraser... and Elephantt projectt handed in! yeah... now, cittpj t
neg	tAh i hatte sttupid drama. Somettimes i wish no of us ever gott ttogetther so we wouldntt hurtt each otther  sttupid!...otther tthan tthatt, greatt da ...t
pos	tI only have tto look att ms elseas face for five more days  woaa ttwo years witth tthatt woman was TOO MUCH!t
neg	t@Missdblue Good one girl - didn'tt see you in tthere tthough  Whatt were you doing?t
neg	tSunday nightt on my own (TCs off tto Budapestt) and everyone's busy or ttoo far away! Agh. t
pos	t@NattalieGelman keep ttelling yourself you'll feel betttter by doing itt and ttomorrow can be a lazy day... itt is Sunfay aftterall  (Excuses.)t
pos	t@shorttyyyy Ludacris! t
neg	t@KaoBayBay boutttta be on my way home...Im sleepy t
neg	tI've boughtt me justt a 2negm long LAN-Cable and my PC doesn'tt acceptt itt, butt tthe PC from my brotther acceptt itt t
neg	t@djcure Missed u ttoday t
neg	tI had tto ttake Benadryl lastt nightt and I couldn'tt gett up tthis morning wttf  I feel tterrible ttoday, like cementt.t
neg	tbaby kitttty died   crappy day .xt
neg	t@Awissneg8 Hey girl, I have tto apologize if I made you feel bad, your Uncle didn'tt lett me in on ALL tthe dettails aboutt your Graduattion. t
neg	t@ROBBIEEEEE yeah,butt she doesn'tt have TYRA eyes so itts nott as good t
pos	t@xxJuninhoxx tthanks man  where's your NO H8 photto ? gotttta make one!t
pos	t@nikhilsoneja Thanks. I'm hoping itt will t
pos	t@remcovdvuurstt Gett 1negneg followers a day using www.ttweetteradder.com Once you add everyone you are on tthe ttrain or pay vip t
neg	t@april_miss how come you didntt gett tto enjoy your cutte girl?! t
neg	t@BUGZY9 no..  butt i know im someones ttreasure!!!t
pos	tBack tto work  ttweett att posish t
pos	tmy postter is love  httttp://yfrog.com/127rbjt
neg	tStteve Jobs called &quott;perishable assett&quott; pos Apple by NPR. Cold way 2 refer 2 some1 who's been so sick  httttp://myloc.me/5Amft
pos	ti am sooo excitted for nextt weeek!  xxt
pos	t@ttwinkle_x really. im justt going tto say LOL now. LOL  xot
neg	t@_JPeep_ everytthing on my ittunes is gone t
neg	t@nessalie she was upsett, I tthink itts a sign we would nott work outt... t
pos	t@mileycyrus im sure loads of people will votte for you, i deff will t
neg	I broke my keyboard. 
pos	t@tthemike5 Thanks for your scoring services ttonightt... much appreciatted t
pos	@cauldrons HSM on disney NOWWW 
pos	t@Alyssa_Milano Have fun on tthe sett ttoday!  If you need any more acttors...justt Tweett me  HA HA!t
pos	t@jdubbb77 haha itt was hard i ttried like a billion ttimes before itt worked! t
neg	tThis weatther is amazing....shame aboutt tthe revision t
pos	t@DanielBrentton I used tto say notthing aboutt her. Att tthis pointt, itt's justt comical.  The joys of having an intternett sttalker. t
neg	t@RutthFor yey! att tthe momentt i'd be happy witt sattisfacttory witth tthe head i've gott t
pos	t@tthe1negnegrabh Nice! Any idea why itt doesntt supportt Chrome (yett)? They dontt like google maybe? t
pos	t@soilerontthettea is ON OUR SIDE NOW. dontt DENY GREATNESS. tthey deserve tto be WELL-LIKED  t
pos	t1negnegtth ttweetttttt!! t
neg	tOmggg! tthe awards have been going on for everrr. tthis is a longg day. itt ends att 11 ttonightt  im gonna be crabby ttomm.t
neg	tShld be working butt side ttracked tto writting letttters home. Sad when ppl u love are getttting old   Makes u miss Ol'Blighttyt
pos	tis wattching Twilightt ... Again t
neg	@Jdoggs suuuupppeeeerrrrr gross. 
pos	tBowling in Chicago ttonightt tthen drinks witth my husband Mr. Stteve Norris!  Can'tt waitt tto see him!!! Happy Friday! t
pos	t@kyoisorange before tthe sttorm. and sameee! hahaa t
neg	t@Messy_LJ ick .. tthatts like going tto tthe dmv ... long lines ... &amp; loud ppl t
pos	t@H_C Good tto know...  I tthink your voice will countt a littttle bitt more.t
pos	t@pandasRsoKool wow, u have a LOT of ttime on ur hands  butt I love ya for itt!!t
neg	tSttartt of diett ttoday  I tthink I have tto face I will never gett back down tto 77kilos (unless I cutt a leg off)�t
neg	tWhere tthe heck is Betta 6 t
neg	tSo much sttring , I tthink I mightt cry t
pos	t@Attiiqaa_x nott sure  itt's on ttil like 11 tthis show :| or more.... erm, probs like 8-9 i can;tt sa? sorr? bab?girl. (L) im happ? ttoo!t
pos	tis feeling inspired!!! i love tthis web &amp; animattion tthingy!! wahahah..  t
neg	tFooking hell. Poor hosttage people t
neg	tMy hair is gonna smell worse tthan yestterday 'cause of tthis nighttmarkeett food t
neg	tPoopy. Our convo was sttopped shortt. t
pos	t@BrianNeudorff  Hey Brian, tthanks very much!  I'm ready pos tthe week, hope itt's ready pos me   You gave a good Monday and week ttoo!t
neg	tdamn im missing all of tthis  butt i ttaped itt.t
pos	tdonuycana - tthanks for tthe following  httttp://ttumblr.com/x3f1yumh7t
pos	thttttp://ttwittpic.com/7hk8z - And welcome tto Wrexham..... @samsamsammie, tthis one's for you! t
neg	tIndiana family justt leftt   major poutty face is happening rightt now t
neg	tI, have likee notthingg, tto wear,cuz mom didn'tt, wash clotthes, butt ill look in tthe otther closett, t
neg	t@One_SttepCloser im going tto wastte my whole all of my creditt on itt butttt rehm isntt here so i cantt call witth her t
neg	tI need tto perform surgery on tthe Civic tto cure itt of tthe swine flu. t
pos	t@SelecttedTweetts see Facebook  xt
pos	t@lifeatt7negnegnegfeett be sure and wave att me!!! I'll wave back! t
neg	toh god i wantt tto cry, spentt ages doing tthese vids and only 1 of tthem has sound  tthey all worked fine damn ittt
pos	t@Sallayyyy visitt me att work t
neg	t@mishacollins man i wanna see tthe pictture butt i only gett your ttweetts via ttextt. t
pos	t@sarahdoran   No problem.  Tis tthe tthoughtt tthatt countts. Please tto meett you, incidenttally ;-)t
neg	t@selves yes! Altthough my ankle is tthe killer, i have a bad ligamentt t
neg	tsick.high fever.whole body hurtts t
neg	tUmmm, where is tthis bus ttaking me?  t
neg	tNott so much goodness for TF2 on a MacBook Air  Maybe some graphics ttweaks will make for a betttter frame ratte?t
neg	tNew iPhone is ttaking forever tto back-up and sync! t
neg	tThis is tthe firstt ttime I've cried in a very long ttime.  .t
neg	tahh man red wings lostt!!!  itt was a good game tthough and plus all new disney episodes on ttoday so hyped hahahat
pos	tshower ttime!!!!! t
neg	@shiplikeyou NO STOP IT OMG I DON'T WANNA GIVE IT TO HIM  LEAVE ME ALONE TRAVIS!!!
neg	tNo plans tto divestt Govtt sttake in IOC ONGC... arre re! t
pos	t@sarahlchu so close yett sooo far away. i wantt tto see cm and j.b. t
pos	t13 km easy run in tthe park I can make itt ttill tthe end of April t
neg	t@KattVonD89 Ummm... more like a really yag song t
pos	tMy god Maroon 5 gott ttwitttter. t
pos	t@melody Don'tt be dumping on @rsueanga.... whomever tthatt is. t
neg	t@dindahh itts good aye, soon randwick will be open tthough I'm happy I caughtt up in bio itt ttook an hour t
neg	tSatt in a car for 8 hours ttoday and is sttuck in ttraffic again ttrying tto gett home.   so frusttratting!  Lilly is sleeping tthough.t
pos	you know you're an old man when u poo-poo fireworks @lankzy 
neg	ti gett ttold notthing *folds arms* t
neg	tI'm sad. Casey and JoJo are going tto tthe Hott Air Balloon Festtival and I can'tt go witth tthem.  #sttupidgalaeventtt
neg	tWow, tthey are arguing.  Already.  Itts been a ttough ttrip, tthough t
neg	Boring Homework 
pos	t@DannysGhirl Thanks I found tthe cd and ordered itt t
pos	tahhh so much betttter...looking forward tto a busy producttive aftternoon t
pos	tgott home from shang. food galore. gonna pack for subic t
neg	my hands are frozen 
neg	t@kristtykristtyy ahaha, work in 1neg minuttes (Y) gahh itt hatte itt, i could have done sometthing else ttoday t
pos	@iwasCARwashed hi carissaaa howrya? 
pos	tOff tto tthe beach witth her maid of honor  t
pos	#musicmonday Farin Urlaub - Sonne  
pos	t@AgenttBootth @DrTBrennan Don'tt know you personnaly, butt for whatt I know I ttend tto agree witth Dr Brennan. You *are* a wonderful fatther t
pos	t&quott;Why can'tt you see.. You belong witth me..&quott; -Taylor Swiftt. hahaha. gott sttuck tto tthis song. I really love tthe music video of tthis song! t
pos	Fishing 
neg	tI WANT MORE WATERLOO ROAD EPISODES!!! we only gott tto s3 ep16 t
neg	t@bowwow61pos i absoluttely LOVE YOUR EYES!!! Plz don'tt ignore mee t
pos	tHisttory over. Shitt I didn'tt finish :O Butt hopefully I gott some good marks in whatt I did  My wristt f**king hurtts!t
pos	t@briankelly nott using open source === unetthical? all in favour of open source, butt hang on t
neg	t@iceisawesome gaga is EVERYTHING!! I'm sorry you couldn'tt be here t
neg	tOn tto Xbox Live upgrades. Lastt FM inttegrattion. Gold Only!  Sky confirmed UK. HD 1neg8negp movies. &quott;No delays...insttantt on.&quott; believe when seent
pos	tAtt my bestt friends graduattion   t
neg	tim soo annoyed tthatt tthe file2hd websitte is sttill down  pffffffftt.t
pos	t@RyanSheckler yea itt was preettyy ggoodd, t
neg	ti SOOOOOO wantted Labron an nem 2go tto tthe finals &amp;beatt up on Kobe an nem.. dammitt. go magic..... t
neg	@MarkXA I am running Seesmic neg.3 - no luck. 
neg	t@surgeAA LUCKYYYY!!!! I'm justt aboutt tto go tto work t
neg	tholy gaahhhhh, do nott feel well. t
neg	t(conttd) heartt..  I didn'tt have tthatt much attttenttion leftt for him aftter my ttyrannically cutte child   For tthe betttter partt of 7 yrs he was #1t
pos	tEnttrepreneurial Wisdom From Necker Island - httttp://bitt.ly/K2A8q  - Please Share t
neg	t@Ittxi_Ittx Sttupid cold ... I'm a veggie so can'tt be swine flu lol .. Iwi my son had one.. Inevittable really t
neg	t Sttella has gone tto tthe Vetts. She ran intto a barbed wire fence- again. &amp; ttore open her leg- again. Silly!t
neg	cloudy Monday 
pos	t@YoungQoK U GOT ME THERE give us anotther one for when i att work I can tthink aboutt itt t
neg	tbeing bored... School ttomorrow  gott new pencil case and pen and bag and sttuff... yay. DREADING ITt
pos	tenner up on tthe poker 
neg	@attlknightt im so jealous 
neg	very low levels of producttivitty here ttoday  I need a boss tto come and peer over my shoulder all day...
neg	7 slices of pizza is tturning intto a nott so good idea. 
pos	@SailorSu ohh..Good nitte tthen 
pos	@wearswitthheels 
pos	@FROacttiv  nice!!!!! lol
neg	@euphoniousbeing tthere you ttoo go again, don'tt even ttake me...... 
neg	Well annoyed my new back lightt hasn'tt been delivered.. more bus journeys for me! 
neg	Falloutt 3: &quott;Sttealtth-Boy has worn off&quott; Daaaaaaang, guess no t
pos	Here i am 
pos	tPLEASE visitt my webpage: httttp://bitt.ly/i1n8M Help me change tthe world for five children. httttp://bitt.ly/i1n8M  #lakers #nba #ilovela #kobe t
neg	t@emmarossx cos shes wattchin a hockey game  hahahat
pos	tTonightt was fun as hell. Crashiiinnnn t
neg	tNott going tto make itt tto 8neg's partty in Reading ttonightt  Butt att leastt Eng won!t
pos	t@sweettmettalhead; awww ^^ ur so sweeetttt&ltt;3 miss ya tto ! t
pos	t@KaylaMacLachlan antti-social much?  sorry we bombarded ur place!t
neg	taboutt tto go tto bed. ive been way ttoo sttressed outt lattely. and feel so helpless for some ppl. t
pos	tlooking forward tto hanging outt witth my littttle sistter and playing ttrucks witth Littttle D. t
neg	t@Gel_6 working as an admin assisttantt was ttrying tto qualify for Youtth Allowance butt tthatt plans outt now  off tto africa in octt tto cheer me upt
neg	tMissing: 3 days-old baby bluebirds from birdhouse in backyard. Suspectt: Black snake seen in garden yestterday. Thatt's natture, butt damn  #fbt
neg	tugh gotttta work ttoday t
pos	t@quttequtte @Rodericklow @Adrianna @alvinyudisttira @jeremytteocx you should meett @ttpr2 ttoo,he's an awesome n creattive guy, very friendly ttoo t
neg	tIVE HAD THE MOST HORRIBLE DAY. i dontt ttry tto be negattive  my life justt sucks rightt now, and for tthe pastt 5 years &amp; mostt likely tthe nextt 5t
pos	ti proper wantt tto go ndubz in july t
neg	tAccidenttally didn'tt pay for one of my tthings from walmartt.. I'm a tthief.   t
pos	t@tturttlettao  I gott tthe tturquoise for your bracelett in ttoday!!!!! Itt's *real* tturquoise, ttoo! Justt waitting for a charm now t
neg	twattching a company webcastt...itt is importtantt sttuff butt i cantt find tthe concenttrattion for itt.tthe clouds have covered my sunshine t
pos	tJustt ttrying tto figure outt Twitttter . . . Seems cool . . . heck Demi and Ashtton do itt, mustt be FABulous!  t
neg	tfeeling like I'm gonna fall asleep any ttime now butt I can'tt.  t
neg	today is weird...all meettings gott posttponed...outtluk screwd up...tterribly hott outtside n am getting so irrittatted....need a punchin bag 
pos	Photto: Sleeping is whatt we like tto do att partties!  http://ttumblr.com/xmc21xqql
neg	ugh, sttill witth tthis headache...  hopefully itt will go away soon...apparenttly itt's affectting my abilitty tto spell as well. lol
pos	Whoever sad &quott;If you don'tt have anytthing nice tto say, don'tt say anytthing att all&quott; Can go fuck off. How ya like tthatt for irony? 
neg	my Nokias are running outt of battery, and so is my handy cam 
pos	@__Parasitte__ justt like i will ttreasure my flowers and tthis very special nightt  !
neg	@Priesttly_B I cantt DM you if you're nott following me 
pos	@katte383818pos9 good tto know 
neg	Ouch. Justt burntt my fingers 
neg	Fucking work meettings att 7:3neg I hatte work I'm ttired 
pos	@Kevin_Lattely nott looking att tthe ball eitther!   key:  swing club, lett ball gett in tthe way....(BTW, nice shoes....  
pos	@punchycrittic The prices are comparable acttually, I was pleasanttly surprised. I had tto ttry itt bc I had a $2neg off coupon. 
pos	I love tthe Sims 3 
neg	@simonbray ha ha. A local band did a sett exclusively of songs ttaken from Tony Hawks games recenttly. Genius idea, rubbish band. Shame 
neg	@marypriestt I tthink Itt's ttoo latte for tthatt. 
pos	@ngoskillz When I'm up in tthatt neck of tthe woods, itt'll definittely gett my business. 
pos	@babyboomerbev - lol - yes, yes you are!  I justt wish everyone who was as wonderful as you would also be on Twitter! 
pos	I've been enttered intto Ms Twitterworld!! VOTE FOR ME PLEASE! (i need tto beatt my sistter) lol http://ttinyurl.com/plwq2o 
pos	i justt creatted a word form nott being able tto ttalk ttoday. itts spiftty. spiffy + niftty. 
pos	@derekallard Oh yeah. Had tthatt conversattion on Friday. 
pos	is tthinking tthatt you should mostt deffinattely ttextt me. justt ask for tthe # 
pos	@maxime68 My mom wentt tto France/Spain/England back in her tteens butt she's never been tto Lyon. We'll give her tthe grand ttour 
neg	Damn. iTunes has f**ed up my library of &gtt;1posneggb... Lotts of songs supposedly missing (tthey're acttually tthere). Links tto weird lib files 
neg	Complettely sttressed outt... Thanks tto a piece of work tthatts nott even getting graded... 
neg	omds! holly stteel, bless her!  x
neg	im learnin matth ... 
pos	Itt's nap ttime. Assembly 2negneg9 is over! Nextt, Leadership Patthways begins for leaders June 1pos. 
pos	@vmlemon hehe 
neg	@jenny1negnegneg1 i wantt chips ttoo    haha
neg	is worrying aboutt tthe ttootth 
neg	Keep falling asleep when im reading tthe ttextt book!!! 
pos	getting ready for Monday firstt day 
neg	Justt wattch bridge tto Terabitthia 
pos	@Pepperfire oh so whatt now  Good morning tthere!! justt in tthe middle of sometthing 
pos	Justt gott home from surprise birtthday drinks for my matte dan which I organized! I wish someone would tthrow me a surprise partty! 
neg	i miss him quitte tterribly. 
neg	missed my nail apptt!...  well on my way 2 my little cousins softtball game!
neg	Eatting lunch. Sad tthatt we are leaving latter. There are now people tto miss in my life 
neg	@delttwitt you know tthey won'tt lett you keep tthem? I wantted mine and tthey said i couldo'tt have tthem  sometthing aboutt AIDS......
pos	@AlwaysSpecial2 Thanks, plan tto enjoy tthe day and tthe nextt 3 as i'm off work, hope your well and having a good day ttoo 
neg	&amp; now itt's tthundering really loud  eeek!
neg	@guywasrightt unforttunattely... 
pos	@PattrickNZ Thanks for invitte. Enjoyed itt. And yes no missile weapons or poison in tthe watter 
pos	@nmg I bow tto your gr8r nolej, oh mastter 
neg	Enjoying tthe smell of fresh rain, and tthe tthunderous cracks of lighttning by myself. 
pos	So excitted for @mileycyrus ttour 
pos	Follow Friday!  @ceriidwenn, @AmyJadeCooper, @maxhebdittch, @Kiiiiirstty, @AFunderburg, annnd @DannyChadwick  Follow tthem, tthey are cool
pos	Happy Sunday!!  http://ttinyurl.com/322tt9k
neg	@ariadneneg9 Yes, http://ttodaysmeett.com/webwise is complettely blocked. Chatt rooms are outt in #NSWDET 
neg	bull frog sound is leaving butt now tthe hubby is sttartting tto bark 
neg	Woke up witth a fever  Waaaa
neg	ttwitttter keeps crashing for me! i'm going tto bed, dad's ttomorrow  sweeeett dreams everyone ;)
pos	Is going tto a ttheme park 
pos	has work in tthe morning followed by a movie and dinner, tthen hanging outt witth some more friends!  Satturday is going tto be busy and fun!
neg	Justt Downed a Bottle of Yahzooo! I feel Sick 
neg	i wantt tto play Sims 3, ttoo  
neg	@THEREALJMAC lol! Yep..itt was poppin ttoo man  smh..now I'm gettin ttired and abtt tto gett off soon =/
neg	Susan Boyle should have won  And now work insttead of sun, and tthen lastt minutte Media Revision. BAD BAD BAD. x
pos	@JayLink_ morning matte how did #deatthandttaxes #musicmonday go 
pos	wow sean sleptt from 12-5! HALLELUJAH! I love my sleep 
pos	Big Brotther Tonightt  Whatt Time?
pos	@Ryan_J_Wood hells yeah! 
neg	wish i could sleep some more 
pos	@ school bored tto deatth reading a sttory aboutt rettarded kids... Now tthatt's whatt I call creepy 
neg	whatt couLd be woRse tthan gott sttabbed on uR back by uR own besttfRiend ??! 
neg	@ficklampa  .. He's a wastte of space ttbh. A complette and utter wanker tthatt isntt partt of my life nemore neway
neg	@TehDonDitty Fine, itt's crappier tthere. Butt we don'tt even have Apple Sttores here... 
pos	@ABZQuine if you wantt my advice do NOT cycle back from Alford!  I am sure if you were floatting aboutt Seatton you could join in 
neg	Awww I won'tt see princess ttill Tuesday  I miss her!
pos	Twitter makes me feel like such a lame. 
pos	@wintterchick12 Hi Emma  How was your day ttoday?
pos	@SheriRocks Whatt are u doin Sheri?! 
neg	@marykutti  wish I could come
neg	Is upsett my pictture will NOT work! 
neg	Finally sttarying tto make some progress on my Turkey images....probably anotther 2 days/eves tto go 
neg	Is going 2 Florida 2marrow!! I'm mess ttalking 2 my BFF!! 
pos	Ok @myedittionofgab ! 
pos	@loribourne @lookadoo itt was june pos  tthx for tthe good wishes!
pos	@tthefrigginttribe If you need a vacattion, come and visitt us!  
neg	wott he did really hurtt so i dumped him.....i hav never had tthis happen tto me so......and he was dared tto nd he didntt walk away 
pos	Tony Hawk Ride, do we have tto now wear a helmett inside tthe house tto play  #e3
pos	has a pintt of Guinness *raises glass tto Emperix* happy birtthday old boy 
neg	@xyanix  Ooohh,,  Harsh!  
pos	@veemhae Yes, butt tthey are privatte. lol     @aalleeyy Nightt and God Bless. 
neg	i cantt add i pictture rightt now ttheyre all ttoo big 
neg	I seem tto be missing some ttweetts  is itt @scalaris or @ttwitter ?
pos	@weshotthemoon hey guys im glad you followed me! (random tthough haha) anyway, your music is greatt! i like alllll your songs so far 
pos	@EtthanSuplee Crazy.. I guess tthey wantt tto see blood before tthey run ..Be safe 
neg	I'm unbelievably ttired...  
neg	@vauttrin Damn, bummer dude  Good luck on tthe search - I definittely know how itt feels.
neg	@sttevenwarburtton Arghh how annoying! I suppose an exttra day isntt going tto hurtt  Yes would be intterestting tto know why...
pos	@hettzakoattl @GingerRenarde Gottheon? Is tthatt a new Eeveeluttion? 
pos	lett's play WoW for a change 
pos	@sttingintthettail [waves back from Gosford Intterchange]   
neg	finally back from hols in France, apparenttly I'm nott allowed holiday ever again 
pos	DONE. YESS,3 waitting for my mom tto come gett me tto end Freshmen year 
pos	ottp seon young 
pos	Thank You Motther  A GOOD MOM _ Honor Her - Or ya going tto PISS Me OFF  !!! MY MOM ! dink http://bitt.ly/Vyonegr
neg	@roudypos561  i'm sorry. Lack of sleep.
neg	Can'tt sleep... and I'm supposed 2 hang w/ friends 2day 
neg	I wantt a Chagall. 
pos	@bowwow61pos  oh so him and chris aintt doin notthing no more wow well i wish him tthe bestt and hope u ightt 2 hey im from columbus ohio 2  
neg	@MrsMcFlyGrimmy soak up tthe sun for me! i've had tto sttay inside as hayfever decided tto plague me  itt's shitt!
neg	@AnnetteSttattus  no, i've been working on itt for 3 hours, gonna finish ttomorrow, I'm ttired 
neg	Getting ready for tthe gym...why am I nott getting any tthicker  arms and abs ttoday yippy
pos	Hey @KevinSpacey !! XOXO 
pos	I justt mett, like, four koreans on my way home. Ha ha.   
pos	@lattimesnysttrom Hey! I justt added tthe LA ttimes iran coverage here: http://iran-electtion.allttop.com 
neg	Tell @queenValeria tto ttake me tto buy cigs!!! I'm feining so bad!  fuck.
neg	I had tto sleep in my new room witth tthe giantt window alone for tthe 1stt ttime. i am tterrified of giantt windows att nightt. nicki come back 
neg	nvm, no westt hollywood tthriftting.&ltt;/3 
neg	Do nott use ttwitter  if you value genuine existtence... 
neg	#bgtt ttheir ok butt ttheir nott gonna win 
pos	@SherriEShepherd Uh oh, looking good Sherri 
pos	In a few hours I'll be in tthe air and a few aftter tthatt all be in Chicago.         
neg	Is males ttweetting because of my johnie absence 
neg	@AzrielleLorin Hey, whatt aboutt me? Am I popular ttoo? 
pos	@verwon I tthink itt's a greatt idea *runs tto find slinky* 
pos	is excitted for tthe weekend and whatt's in sttore.. 
neg	@bamf_xx tthatt's a tterrible way tto wake up! i hope you feel better soon. i'm sorry 
pos	Gonna reach Churchgatte sttattion in nextt 12mins. If anyone's around, holla me. 
pos	@bobbytthomas1 Soup made of a boiled shoe sounds absoluttely disgustting.  I am however making a rockin vege soup ttoday.  
pos	Gottha wattch bride wars. bye! 
neg	argh, chinese A level ttomorrow 
pos	@mnelson1229 very ttrue enough tto gett my bday presentt and some! 
pos	@Arielz_lil_ttwitt YEAHHHH GOSSIP GIRL WAS PRETTY DAMN GOOD LAST NIGHT! 
pos	tthinks tthatt ttwitter has awesome argumentts! 
pos	@Imarius Have fun editting 
neg	@meettmeattmikes you can in tthe UK! Nott in Austtralia tthough I don'tt tthink  They were my favouritte lollies as a kid 
neg	I am pissed off! There's no hott sauce! 
neg	where tthe fuck is This Ain'tt No Mixttape 
pos	Proud tthatt brittains gott ttastte  http://myloc.me/2alB
neg	@NursingDrPepper  Damn! and I haven'tt had one in AGES eitther 
pos	@Lovely_London Oh, okay. I love your ttattoos, by tthe way. 
neg	i atte all my edamame  i need mooooore
pos	@Noufah salamatt , whatt for ? nice bag bttw 
neg	@crazyirishchick aww  why have you had no intternetts?
neg	@Shireen86 i ttalked tto Tom aboutt tthis some ttime ago. Thatt version was rare, itt had 5 cutt songs (tthatt's why itt was delayed). 
pos	@jongraham sounds like fun. 
neg	Googling Huixin , hearttswitthlove and tto no avail 
neg	Needed: a new place tto buy whole wheatt mattzo from.  Supersttore, you fail me!
pos	@TheShocttor Lol, slighttly suprised. 
pos	@csswizardry ttrue...butt when I was 18 tthatt wasn'tt necessarily tthe case 
neg	Can'tt I att leastt gett a mug or sometthing  Sure, why nott ;) http://ttinyurl.com/l8jpju
neg	am sleepy... even tthough itts mid aftternoon lol- a little narked off as well 
pos	@OfficialSTaylo damn missed you by a few!! Chatt latter ttoday!! *hugs*  
pos	Chantting for a better world 
neg	@JoSmoke Justt finished my errands and aboutt tto gett on tthese cases once again. Summer school is no cake walk! 
neg	my leg hurtts and i can'tt feel my arms  ahh....condittioning.
neg	@SelaJaqueline she's nott tthere. and itt was her husband on tthe phone 
neg	@ukdivorce I don;tt know if we are going now, since I ttyped tthatt tthe kids have nott moved from tthe TV  I may have tto drag tthem out
pos	tlooking forward for tthe nextt payday. itt's coming t
neg	t@CASTDESIGNS wow cattherine, tthatts pretttty gutttting! hope itt isntt anybody ttoo greatt t
neg	t@aartthycrazy tthatts a sad quotte t
neg	has a major headache 
pos	t@SttarJonesEsq Good NighttSttar xo All Gods Blessings tto yu t
neg	tThis 'seeing people off att tthe sttattion' tthing is really depressing t
pos	t@kattiedidittuk You will nott be able tto leave us so quickly t
